Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
254,Kyle Korver\korveky01,PF,37,CLE,16,0,15.7,2.2,4.8,.461,1.6,3.4,.463,0.6,1.4,.455,.625,0.8,1.0,.813,0.0,1.8,1.8,1.1,0.2,0.1,1.1,1.4,6.8
254,Kyle Korver\korveky01,SG,37,UTA,13,0,18.0,3.2,7.0,.451,1.9,4.9,.391,1.2,2.1,.593,.588,0.5,0.6,.750,0.2,1.7,1.8,0.9,0.5,0.3,0.6,1.3,8.7
255,Kosta Koufos\koufoko01,C,29,SAC,20,1,15.1,1.9,4.1,.469,0.0,0.0,,1.9,4.1,.469,.469,0.2,0.5,.333,1.5,3.8,5.3,1.1,0.6,0.5,0.7,2.2,4.0
256,Rodions Kurucs\kurucro01,SF,20,BRK,19,7,18.9,3.4,6.7,.512,0.8,2.4,.333,2.6,4.3,.610,.571,1.6,1.7,.909,1.0,3.1,4.1,0.6,0.6,0.3,0.9,2.2,9.2
257,Kyle Kuzma\kuzmaky01,SF,23,LAL,34,32,32.4,7.0,14.6,.481,1.8,5.7,.313,5.2,8.8,.590,.542,2.4,3.1,.762,0.7,5.0,5.7,2.3,0.6,0.5,1.7,2.3,18.1
258,Skal Labissiere\labissk01,PF,22,SAC,10,0,9.4,1.1,2.6,.423,0.3,1.0,.300,0.8,1.6,.500,.481,0.6,1.1,.545,0.2,1.7,1.9,0.4,0.2,0.2,0.6,1.9,3.1
259,Jeremy Lamb\lambje01,SG,26,CHO,33,33,29.5,5.5,12.5,.445,1.4,4.0,.356,4.1,8.5,.487,.502,2.9,3.3,.864,0.8,4.9,5.7,2.0,1.2,0.3,0.8,2.1,15.4
260,Zach LaVine\lavinza01,SG,23,CHI,29,28,35.0,8.5,18.7,.455,1.7,5.2,.331,6.8,13.4,.503,.501,5.2,6.0,.863,0.4,4.3,4.7,4.7,1.0,0.5,3.9,2.1,23.9
261,Jake Layman\laymaja01,SF,24,POR,25,20,14.7,2.1,4.1,.505,0.7,2.0,.353,1.4,2.1,.654,.592,0.4,0.6,.600,0.7,1.6,2.3,0.3,0.6,0.3,0.6,1.0,5.2
262,T.J. Leaf\leaftj01,PF,21,IND,17,0,6.9,0.9,2.5,.381,0.1,0.6,.182,0.8,1.8,.452,.405,0.2,0.2,.750,0.6,1.0,1.6,0.3,0.1,0.1,0.3,0.5,2.2
263,Courtney Lee\leeco01,SG,33,NYK,9,1,14.0,1.8,4.2,.421,0.6,1.4,.385,1.2,2.8,.440,.487,0.8,1.2,.636,0.6,1.9,2.4,1.3,0.6,0.2,0.3,1.4,4.9
264,Damion Lee\leeda03,SG,26,GSW,16,0,12.2,1.7,3.6,.466,0.8,1.9,.419,0.9,1.7,.519,.578,0.7,0.8,.846,0.2,1.6,1.8,0.2,0.5,0.0,0.5,1.2,4.9
265,Alex Len\lenal01,C,25,ATL,30,18,19.7,3.7,7.6,.487,0.6,1.8,.340,3.1,5.8,.531,.526,1.8,2.6,.684,1.9,3.3,5.3,1.0,0.3,0.9,1.6,2.9,9.8
266,Kawhi Leonard\leonaka01,SF,27,TOR,27,27,35.0,9.4,19.0,.497,1.8,4.8,.377,7.6,14.2,.538,.545,6.2,7.2,.856,1.3,7.0,8.4,3.1,1.8,0.6,2.1,1.6,26.9
267,Meyers Leonard\leoname01,C,26,POR,31,0,13.6,2.1,4.1,.508,0.9,2.1,.438,1.2,2.0,.581,.619,0.8,1.0,.867,0.9,3.1,4.0,1.1,0.3,0.1,0.7,1.6,5.9
268,Jon Leuer\leuerjo01,PF,29,DET,19,1,10.1,1.8,2.9,.625,0.0,0.3,.000,1.8,2.6,.700,.625,0.6,0.8,.800,0.6,1.6,2.2,0.3,0.3,0.1,0.6,1.3,4.3
269,Caris LeVert\leverca01,SF,24,BRK,14,14,29.7,6.9,14.6,.475,1.4,4.4,.311,5.6,10.2,.545,.522,3.1,4.4,.721,1.0,3.3,4.3,3.7,1.2,0.4,2.1,2.4,18.4
270,Damian Lillard\lillada01,PG,28,POR,34,34,35.2,8.8,19.6,.450,3.1,7.7,.398,5.8,11.9,.483,.528,6.2,7.0,.890,0.8,4.0,4.9,5.8,0.9,0.6,2.6,1.8,26.9
271,Jeremy Lin\linje01,PG,30,ATL,29,0,18.5,3.6,7.2,.505,1.0,2.7,.380,2.6,4.4,.581,.577,2.6,3.1,.833,0.2,2.1,2.3,3.2,0.8,0.1,1.9,1.9,10.9
272,Shaun Livingston\livinsh01,PG,33,GSW,25,0,16.4,1.8,4.2,.419,0.0,0.1,.000,1.8,4.1,.427,.419,0.9,1.2,.733,0.9,1.4,2.3,2.2,0.5,0.6,0.7,1.4,4.4
